Name,Intake date,Water date,Planted date,Sprouted date,Departure date,Outcome,Owner,Given on ,Notes,,,,,
Serrano Pepper 1,8/21/2022,,9/3/2022,10/4/2022,2/19/2023,Unsure,,,"lost leaf 11/9, suspect not enough moisture.  Transplanted into own peanut butter tub 2/5/23",,,,,
Serrano Pepper 2,8/21/2022,,9/3/2022,10/5/2022,3/4/2023,Unsure,,,Transplanted into own peanut butter tub 2/5/23,,,,,
Serrano Pepper 3,8/21/2022,,9/3/2022,10/5/2022,2/8/2023,Unsure,,,Transplanted into own square tall tub 2/5/23.  i believe it died shortly after,,,,,
Mango 1,8/25/2022,,9/5/2022,9/13/2022,8/21/2023,Dried out,,,,,,Ungerminated habanero seeds,Sep-27,in grey plastic tub
Mango 2,8/27/2022,,9/14/2022,,9/20/2022,Rotted,,,,,,Ungerminated papaya seeds,Oct-15,
Mango 3,8/29/2022,,9/23/2022,10/2/2022,1/26/2023,Rotted,,,Consider fertilizing bc it has remained small.  Onion Treatment (12/31),,,Ungerminated tomato seeds,Oct-15,
Avocado 1,9/1/2022,,,,9/4/2022,Pit broke,,,,,,Ungerminated kiwi seeds,Oct-13,outside
Avocado 2,9/5/2022,9/10/2022,9/20/2022,11/1/2022,,Sprouted,,,Root radicle seen on 9/12,,,,,
Papaya 11,9/5/2022,,10/27/2022,11/12/2022,2/9/2023,Not enough light,,,Still living at back of tall growth cabinet,,,,,
Papaya 1,9/5/2022,,9/24/2022,10/17/2022,12/1/2022,Dormant,,,"Habanero Pepper black cup, presumed dormant but may sprout due to correct moisture levels.  November 5? almost 10 of these sprouted, uprooting the pepper",,,,,
Papaya 12,9/5/2022,,10/27/2022,,11/12/2022,Unsure,,,"Based on no sprout date, marking as departed 2 weeks after",,,,,
Papaya 2,9/14/2022,,10/7/2022,10/17/2022,12/26/2022,Not enough light,,,in the OG oatmeal cup,,,,,
Papaya 3,9/14/2022,,10/7/2022,10/19/2022,12/26/2022,Not enough light,,,in the OG oatmeal cup,,,,,
Papaya 4,9/14/2022,,10/7/2022,10/19/2022,12/1/2022,Not enough light,,,in the OG oatmeal cup,,,,,
Papaya 5,9/14/2022,,10/7/2022,10/20/2022,12/26/2022,Not enough light,,,"In tall oatmeal cup.  Transplanted night of 10/19, then again on 10/20 when the original tub collapsed.  Died over break when it didnt get enough light",,,,,
Papaya 6,9/14/2022,,10/7/2022,10/20/2022,2/16/2023,Not enough light,,,"In clear plastic cup got at Lou's.  Transplanted night of 10/19 when still germinating, sprouted the next day",,,,,
Papaya 7,9/14/2022,,10/7/2022,10/23/2022,12/20/2022,Not enough light,,,in tall square clear plastic tea jug,,,,,
Papaya 8,9/14/2022,,10/7/2022,10/23/2022,2/16/2023,Discarded (ABQ move),,,in the OG oatmeal cup,,,,,
Papaya 10,9/14/2022,,10/7/2022,10/25/2022,12/26/2022,Not enough light,,,,,,,,
Papaya 9,9/14/2022,,10/7/2022,10/25/2022,12/23/2022,Not enough light,,,Transplanted out of OG oatmeal cup.  Died over winter break when it didnt get enough sun,,,,,
Papaya 13,9/14/2022,,10/7/2022,11/12/2022,12/13/2022,Not enough light,,,In carrot tub.  Carrot tub last seen 12/13,,,,,
Avocado 3,9/26/2022,,10/19/2022,11/13/2022,8/11/2023,Rotted,,,"moved to window location after discovering shoot.  late summer it eventually developed rootrot i guess, dried out and died",,,,,
Avocado 4,9/26/2022,10/23/2022,4/25/2023,5/19/2023,,Sprouted,,,"no sign of shoot coming out as of 12/10.  Still no sign 3/11, but roots are doing better.  Planted in oatmeal tub 4/25",,,,,
Habanero Pepper 3,9/27/2022,,10/11/2022,10/15/2022,10/28/2022,Cold shock,,,outside in small beer can,,,,,
Habanero Pepper 4,9/27/2022,,10/11/2022,10/15/2022,10/28/2022,Cold shock,,,outside in small beer can,,,,,
Habanero Pepper 2,9/27/2022,,10/11/2022,10/15/2022,,Sprouted,,,outside in small beer can,,,,,
Habanero Pepper 5,9/27/2022,,10/11/2022,10/15/2022,11/1/2022,Cold shock,,,outside in small beer can,,,,,
Habanero Pepper 0,9/27/2022,,10/1/2022,10/17/2022,11/7/2022,Overwatered,,,,,,,,
Habanero Pepper 1,9/27/2022,,10/3/2022,10/17/2022,10/29/2022,Overwatered,,,inside,,,,,
Habanero Pepper 8,9/27/2022,,10/20/2022,11/13/2022,2/5/2023,Lost cotyldons,,,grey plastic tub. transplanted ,,,,,
Habanero Pepper 9,9/27/2022,,10/20/2022,11/13/2022,8/11/2023,Dormant,,,"grey plastic tub.  transplanted.  Dormant again on 5/15/2023, placed outside 6/16/2023",,,,,
Habanero Pepper 15,9/27/2022,,11/11/2022,11/13/2022,11/17/2022,Sun shock,,,Part of second round in grey plastic tub,,,,,
Habanero Pepper 16,9/27/2022,,11/11/2022,11/14/2022,2/5/2023,Discarded,,,"Part of second round in grey plastic tub.  Discarded during txplant into bigger pot, only space for so many",,,,,
Habanero Pepper 17,9/27/2022,,11/11/2022,11/14/2022,2/5/2023,Discarded,,,"Part of second round in grey plastic tub.  Discarded during txplant into bigger pot, only space for so many",,,,,
Habanero Pepper 18,9/27/2022,,11/11/2022,11/15/2022,2/5/2023,Discarded,,,"Part of second round in grey plastic tub.  Discarded during txplant into bigger pot, only space for so many",,,,,
Habanero Pepper 10,9/27/2022,,10/20/2022,,11/20/2022,Dormant,,,grey plastic tub,,,,,
Habanero Pepper 6,9/27/2022,,10/20/2022,,11/20/2022,Dormant,,,grey plastic tub,,,,,
Habanero Pepper 7,9/27/2022,,10/20/2022,,11/20/2022,Dormant,,,grey plastic tub,,,,,
Ginger 1,9/28/2022,,9/28/2022,10/14/2022,1/16/2023,Overwatered,,,"moved outside 10/17.  Cut all the way down 1/1/23.  Maybe tamped off? 1/16 clearly dead, watery on the inside",,,,,
Avocado 5,9/30/2022,10/20/2022,,12/8/2022,5/15/2023,Dormant,,,"Sprouted while in water.  Kept in water, leaves never took off and got cruncy and dormant.  Thrown away ",,,,,
Avocado 6,9/30/2022,10/29/2022,5/21/2023,12/11/2022,8/11/2023,Rotted,,,"I'm recording this as hte one that was sitting in Avocado 9's jar - avocado9 was recroding as being thrown away on 2/28, maybe i just put this one in its jar . The water date is also approx - based on 11/29 bereal a strong long root, must have been in water for a while",,,,,
Mango 4,9/30/2022,,,,10/11/2022,Rotted,,,,,,,,
Mango 5,10/1/2022,, ,,10/11/2022,Rotted,,,,,,,,
Blueberry 1,10/2/2022,,10/3/2022,,10/20/2022,Dormant,,,,,,Ungerminated papaya seeds,Sep-5,
Blueberry 2,10/2/2022,,10/3/2022,,10/20/2022,Dormant,,,,,,Ungerminated lemon seeds,Oct-12,
Blueberry 3,10/2/2022,,10/3/2022,,10/20/2022,Dormant,,,,,,Ungermianted serrano seeds,Oct-11,outside
Blueberry 4,10/2/2022,,10/3/2022,,10/20/2022,Dormant,,,,,,,,
Mango 6,10/5/2022,,,,10/11/2022,Rotted,,,,,,,,
Mango 7,10/7/2022,,10/9/2022,10/30/2022,,Sprouted,,,transplanted 10/21.  10/25 watered and uncovered soil showing bright maroon stem radicle.  Transplanted again into biggest black pot 1/3/2023 where it stayed for all of 2023,,,,,
Ginger 2,10/8/2022,,10/8/2022,11/4/2022,2/19/2023,Discarded (ABQ move),,,This is the one in the corrucated black tub,,,,,
Ginger 3,10/8/2022,,11/7/2022,11/20/2022,2/19/2023,Discarded (ABQ move),,,"Beyond evident that it was a strong rhizome, wn 1 day of planting in the clay soil it had put out a cluster of roots, transplanted into sea green square ceramic pot w soil",,,,,
Ginger 4,10/8/2022,,11/30/2022,12/20/2022,2/19/2023,Discarded (ABQ move),,,Sprouted over christmas break,,,,,
Ginger 5,10/8/2022,,11/30/2022,12/20/2022,2/19/2023,Discarded (ABQ move),,,Sprouted over christmas break,,,,,
Ginger 6,10/8/2022,,11/30/2022,,2/19/2023,Discarded,,,"I'm not sure where this one is... did it ever exist?  The pot containing 4, 5 planted on same day did not contain a third rhizome (confirmed during transplant).  I just noticed there are 2 ginger 5's.... im saying this is the ginger5 in the black tub",,,,,
Lemon 1,10/9/2022,,10/10/2022,10/19/2022,2/20/2023,Discarded (ABQ move),,,in red pot,,,,,
Lemon 2,10/9/2022,,10/10/2022,,12/1/2022,Dormant,,,"in red pot. I see no evidence this one ever existed either.  The other one in the red pot, after the death of Lemon5, is lemon10 based on the transplant note",,,,,
Lemon 3,10/9/2022,,10/10/2022,10/23/2022,,Sprouted,,,in monrovia pot,,,,,
Lemon 4,10/9/2022,,10/11/2022,10/28/2022,,Sprouted,,,in monrovia pot,,,,,
Mango 8,10/9/2022,,10/12/2022,,10/15/2022,Rotted,,,,,,,,
Lemon 5,10/9/2022,,10/11/2022,10/26/2022,11/13/22,Sun shock,,,in red pot,,,,,
Turmeric 2,10/10/2022,,10/14/2022,12/3/2022,7/23/2023,Discarded,,,,,,,,
Turmeric 6,10/10/2022,,11/30/2022,1/3/2023,12/3/2023,Discarded,,,"Was going to sprout Dec 27 or so but in my hunting around the soil, I broke off a large section of its tip.  Took a week and a half to regrow / recover",,,,,
Turmeric 5,10/10/2022,,11/30/2022,1/5/2023,1/5/2024,Discarded,,,Three planted parallel alongside each other in gauzy white tub,,,,,
Turmeric 4,10/10/2022,,11/30/2022,1/7/2023,1/5/2024,Discarded,,,Three planted parallel alongside each other in gauzy white tub,,,,,
Turmeric 7,10/10/2022,,12/9/2022,1/16/2023,7/29/2023,Discarded,,,"In short wide clear tub<--?.  In green tub for most of its life, discarded to get soil for tx persimmons in late july.  Discovered that it was putting up a new root but still threw it away ",,,,,
