Name,Date,Note,
Papaya 1,10/23/2022,Dormant,
Lemon 5,10/28/2022,Dormant,
Serrano Pepper 1,11/9/2022,Dormant,
Papaya 2,11/16/2022,Dormant,
Papaya 3,11/16/2022,Dormant,
Papaya 4,11/16/2022,Dormant,
Mango 3,11/18/2022,Dormant,
Serrano Pepper 2,11/20/2022,Dormant,
Serrano Pepper 3,11/20/2022,Dormant,
Serrano Pepper 4,11/29/2022,Dormant,
Papaya 5,11/30/2022,Dormant,
Habanero Pepper 8,12/1/2022,Dormant,
Habanero Pepper 9,12/1/2022,Dormant,
Habanero Pepper 16,12/1/2022,Dormant,
Habanero Pepper 17,12/1/2022,Dormant,
Habanero Pepper 18,12/1/2022,Dormant,
Papaya 13,12/1/2022,Dormant,
Mango 1,12/10/2022,Dormant,
Papaya 9,12/10/2022,Dormant,
Papaya 7,12/10/2022,Dormant,
Ginger 1,12/20/2022,Dormant,
Pomegranate 8,12/27/2022,Dormant,
Pomegranate 9,12/27/2022,Dormant,
Pomegranate 10,12/27/2022,Dormant,
Pomegranate 11,12/27/2022,Dormant,
Pomegranate 12,12/27/2022,Dormant,
Pomegranate 13,12/27/2022,Dormant,
Pomegranate 14,12/27/2022,Dormant,
Mango 16,12/28/2022,Dormant,
Pomegranate 17,12/29/2022,Dormant,
Pomegranate 18,12/29/2022,Dormant,
Mango 1,1/3/2023,Undormant,
Habanero Pepper 11,1/4/2023,Dormant,
Pomegranate 5,1/5/2023,Dormant,
Pomegranate 7,1/5/2023,Dormant,
Avocado 5,1/8/2023,Dormant,
Lemon 1,1/10/2023,Dormant,
Lemon 10,1/10/2023,Dormant,
Lemon 13,1/15/2023,Dormant,
Lemon 9,2/1/2023,Dormant,
Lemon 3,2/1/2023,Dormant,
Lemon 4,2/1/2023,Dormant,
Lemon 6,2/1/2023,Dormant,
Lemon 7,2/1/2023,Dormant,
Jalapeno Pepper 4,2/1/2023,Dormant,
Persimmon 2,2/1/2023,Dormant,
Persimmon 3,2/1/2023,Dormant,
Persimmon 4,2/1/2023,Dormant,
Persimmon 5,2/1/2023,Dormant,
Persimmon 6,2/1/2023,Dormant,
Lemon 12,2/15/2023,Dormant,
Turmeric 8,3/1/2023,Dormant,
Turmeric 9,3/1/2023,Dormant,
Pomegranate 35,3/1/2023,Dormant,
Turmeric 11,3/10/2023,Dormant,
Grapefruit 1,3/15/2023,Dormant,
Grapefruit 1.5,3/15/2023,Dormant,
Etrog 1,3/25/2023,Dormant,
Turmeric 2,4/1/2023,Dormant,
Lemon 14,4/1/2023,Dormant,
Turmeric 10,4/1/2023,Dormant,
Pomegranate 35,4/1/2023,Undormant,
Habanero Pepper 9,4/2/2023,Undormant,
Poblano Pepper 11,4/8/2023,Dormant,
Poblano Pepper 12,4/8/2023,Dormant,
Poblano Pepper 13,4/8/2023,Dormant,
Poblano Pepper 14,4/8/2023,Dormant,
Poblano Pepper 16,4/8/2023,Dormant,
Poblano Pepper 17,4/8/2023,Dormant,
Poblano Pepper 18,4/8/2023,Dormant,
Turmeric 7,4/10/2023,Dormant,
Poblano Pepper 1,4/15/2023,Dormant,
Lemon 6,4/15/2023,Undormant,
Lemon 7,4/15/2023,Undormant,
Avocado 7,4/23/2023,Dormant,
Serrano Pepper 7,4/27/2023,Dormant,
Pink Lemon 3.5,5/8/2023,Dormant,
Pink Lemon 3,5/8/2023,Dormant,
Grapefruit 5.5,5/8/2023,Dormant,
Grapefruit 5,5/8/2023,Dormant,
Grapefruit 6,5/8/2023,Dormant,
Poblano Pepper 2,5/10/2023,Dormant,
Habanero Pepper 9,5/15/2023,Dormant,
Anaheim Pepper 2,5/15/2023,Dormant,
Anaheim Pepper 3,5/15/2023,Dormant,
Anaheim Pepper 4,5/15/2023,Dormant,
Anaheim Pepper 5,5/15/2023,Dormant,
Avocado 11,5/19/2023,Dormant,
Avocado 12,5/19/2023,Dormant,
Avocado 7,5/20/2023,Undormant,
Avocado 6,5/22/2023,Dormant,
Jackfruit 6,5/22/2023,Dormant,
Key Lime 1,5/22/2023,Dormant,
Poblano Pepper 1,5/28/2023,Undormant,
Lemon 14,5/30/2023,Undormant,
Poblano Pepper 9,6/1/2023,Dormant,
Guava 10,6/1/2023,Dormant,
Guava 11,6/1/2023,Dormant,
Guava 12,6/1/2023,Dormant,
Guava 13,6/1/2023,Dormant,
Guava 14,6/1/2023,Dormant,
Mango 30,6/4/2023,Dormant,
Mango 31,6/4/2023,Dormant,
Avocado 13,6/7/2023,Dormant,
Avocado 10,6/8/2023,Dormant,
Habanero Pepper 11,6/10/2023,Undormant,
Mango 29,6/11/2023,Dormant,
Avocado 11,6/13/2023,Undormant,
Avocado 20,6/15/2023,Dormant,
Anaheim Pepper 1,6/15/2023,Dormant,
Poblano Pepper 9,6/15/2023,Undormant,
Lemon 3,6/16/2023,Undormant,
Lemon 4,6/16/2023,Undormant,
Lemon 12,6/16/2023,Undormant,
